RANK,FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,TOPG,VI,ORTG,DRTG
98,Ersan Ilyasova,Mil,F,33.41,3,7.8,16.3,20.0,9.2,2,1.0,4,0.5,5,0.2,0.389,0.455,3.0,1.3,9.2,0.0,0.0,0.67,0.0,0.33,0.0,85.4,89.6
99,Joe Ingles,Uta,F-G,33.03,7,33.5,69.7,12.1,6.6,6,1.0,14,0.5710000000000001,40,0.35,0.537,0.565,9.1,3.4,6.0,4.7,19.4,0.57,0.14,0.57,6.3,128.9,108.3
100,Wes Iwundu,Orl,F,25.81,5,15.2,31.6,14.9,11.3,8,0.625,13,0.154,7,0.5710000000000001,0.4,0.446,4.2,2.2,7.4,0.8,7.6,0.6,0.4,0.6,5.1,90.7,105.8
101,Justin Jackson,Dal,F,25.54,3,5.3,11.0,21.0,0.0,4,0.5,3,0.33299999999999996,3,0.0,0.16699999999999998,0.258,1.3,1.0,10.3,0.0,0.0,0.0,0.0,0.0,0.0,59.0,109.3
102,Reggie Jackson,Lac,G,30.49,12,14.2,29.5,13.7,9.4,0,0.0,16,0.25,32,0.531,0.615,0.615,4.9,1.8,6.9,0.9,9.0,0.17,0.08,0.42,5.6,118.7,102.4
103,LeBron James,Lal,F,35.78,21,36.3,75.6,30.4,15.8,150,0.72,263,0.6459999999999999,119,0.37,0.618,0.647,27.6,10.8,17.5,8.8,42.1,1.19,0.86,4.0,15.2,122.3,102.5
104,Alize Johnson,Ind,F,24.47,1,0.2,0.4,0.0,,0,0.0,0,0.0,0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
105,BJ Johnson,Orl,F,24.81,1,3.6,7.5,23.7,0.0,0,0.0,1,0.0,1,1.0,0.75,0.75,3.0,2.0,28.5,0.0,0.0,0.0,0.0,0.0,0.0,,
106,Stanley Johnson,Tor,F-G,24.37,3,6.7,14.0,27.2,8.0,1,1.0,6,0.5,5,0.4,0.545,0.568,4.3,1.3,10.7,2.0,53.8,0.0,0.0,0.33,13.3,127.0,94.9
107,Tyler Johnson,Bro,G,28.43,4,23.2,48.3,22.2,6.0,2,1.0,18,0.556,28,0.39299999999999996,0.5760000000000001,0.5870000000000001,13.8,1.8,3.8,2.3,18.4,0.0,0.25,0.75,6.6,116.0,104.5
108,Nikola Jokic,Den,C,25.64,19,36.5,76.1,28.9,14.1,79,0.835,245,0.555,98,0.429,0.58,0.614,24.4,9.8,16.0,5.7,28.6,1.05,0.79,3.26,12.2,116.4,102.9
109,Derrick Jones Jr.,Mia,F,23.66,15,6.5,13.4,9.9,9.4,5,0.4,8,0.5,9,0.444,0.588,0.573,1.5,0.9,7.7,0.5,10.4,0.4,0.33,0.13,5.4,124.6,99.4
110,Enes Kanter,Bos,C,28.39,10,10.3,21.4,21.9,7.9,10,0.5,41,0.512,1,1.0,0.536,0.539,5.0,4.3,23.6,0.7,11.9,0.0,0.0,0.4,9.6,119.5,90.1
111,Michael Kidd-Gilchrist,Dal,F,27.04,6,9.2,19.1,13.8,5.7,6,0.667,5,0.4,9,0.222,0.35700000000000004,0.42100000000000004,2.3,1.0,6.0,0.5,6.9,0.17,0.17,0.17,4.6,99.1,102.4
112,Maxi Kleber,Dal,F,28.7,6,33.9,70.6,10.2,8.3,12,0.75,13,0.615,26,0.192,0.397,0.452,6.7,6.5,10.5,1.5,5.5,0.33,1.17,0.67,4.8,105.7,106.1
